ind	reg	sex	chrom	nonEnrCG	nonEnrnonCG	EnrCG	EnrnonCG
S_Khonda_Dora-1	SouthAsia	M	1	150	1851	0	3
S_Kinh-1	EastAsia	F	1	157	1793	0	7
S_Kinh-2	EastAsia	M	1	164	1828	0	8
S_Korean-1	EastAsia	M	1	175	1825	0	6
S_Korean-2	EastAsia	F	1	162	2014	1	9
S_Kusunda-1	SouthAsia	M	1	181	1868	0	11
S_Kusunda-2	SouthAsia	M	1	185	2025	0	12
S_Kyrgyz-1	CentralAsiaSiberia	M	1	179	1888	0	6
S_Kyrgyz-2	CentralAsiaSiberia	F	1	175	1883	0	6
S_Lahu-1	EastAsia	F	1	200	1963	0	12
S_Lahu-2	EastAsia	M	1	167	1902	2	6
S_Lezgin-1	WestEurasia	M	1	151	1911	1	13
S_Lezgin-2	WestEurasia	M	1	182	1900	1	6
S_Madiga-1	SouthAsia	M	1	170	1938	0	11
S_Madiga-2	SouthAsia	M	1	181	1984	3	8
S_Makrani-1	SouthAsia	M	1	183	2014	0	13
S_Makrani-2	SouthAsia	F	1	187	2020	0	5
S_Mala-2	SouthAsia	M	1	188	1906	0	9
S_Mala-3	SouthAsia	M	1	188	1902	0	7
S_Mansi-1	CentralAsiaSiberia	M	1	176	1966	1	9
S_Mansi-2	CentralAsiaSiberia	F	1	173	1968	0	5
S_Mayan-1	America	F	1	190	1893	0	7
S_Mayan-2	America	F	1	168	1932	0	11
S_Miao-1	EastAsia	M	1	165	1851	1	13
S_Miao-2	EastAsia	F	1	137	1811	0	9
S_Mixe-2	America	F	1	169	1802	1	15
S_Mixe-3	America	F	1	191	1890	1	15
S_Mixtec-1	America	M	1	171	1930	0	16
S_Mixtec-2	America	F	1	179	1808	2	12
S_Mongola-1	CentralAsiaSiberia	M	1	150	1901	1	10
S_Mongola-2	CentralAsiaSiberia	F	1	182	1923	1	3
S_Naxi-1	EastAsia	M	1	173	1784	1	7
S_Naxi-2	EastAsia	F	1	184	1877	1	11
S_Naxi-3	EastAsia	F	1	181	1862	0	10
S_North_Ossetian-1	WestEurasia	M	1	198	1837	1	20
S_North_Ossetian-2	WestEurasia	M	1	190	1884	0	10
S_Norwegian-1	WestEurasia	F	1	180	1975	0	11
S_Orcadian-1	WestEurasia	M	1	185	1965	1	6
S_Orcadian-2	WestEurasia	F	1	166	1995	1	10
S_Oroqen-1	EastAsia	M	1	167	1896	1	11
S_Oroqen-2	EastAsia	F	1	189	1942	2	7
S_Palestinian-1	WestEurasia	M	1	186	1916	0	6
S_Palestinian-2	WestEurasia	M	1	191	2054	0	10
S_Palestinian-3	WestEurasia	F	1	175	1989	0	11
S_Pathan-1	SouthAsia	M	1	168	1927	1	7
S_Pathan-2	SouthAsia	F	1	174	1998	0	13
S_Piapoco-1	America	F	1	199	1864	0	9
S_Piapoco-2	America	F	1	179	1908	0	6
S_Pima-1	America	M	1	185	2044	1	12
S_Pima-2	America	F	1	195	2075	0	23
S_Polish-1	WestEurasia	M	1	158	1911	0	9
S_Punjabi-1	SouthAsia	M	1	175	1979	0	9
S_Punjabi-2	SouthAsia	M	1	194	1893	1	11
S_Punjabi-3	SouthAsia	F	1	163	1934	0	9
S_Punjabi-4	SouthAsia	F	1	187	1895	0	4
S_Quechua-1	America	F	1	174	1820	2	14
S_Quechua-2	America	M	1	180	1865	0	9
S_Quechua-3	America	F	1	176	1900	1	13
S_Relli-1	SouthAsia	M	1	176	1910	0	9
S_Relli-2	SouthAsia	M	1	194	1887	0	9
S_Russian-1	WestEurasia	M	1	164	2015	0	15
S_Russian-2	WestEurasia	F	1	205	2096	1	9
S_Saami-1	WestEurasia	F	1	160	1909	3	12
S_Saami-2	WestEurasia	M	1	190	1941	0	8
S_Samaritan-1	WestEurasia	M	1	176	1974	0	10
S_Sardinian-1	WestEurasia	M	1	180	1980	2	3
S_Sardinian-2	WestEurasia	F	1	183	2054	0	11
S_She-1	EastAsia	F	1	170	1898	0	9
S_She-2	EastAsia	M	1	169	1820	0	12
S_Sindhi-1	SouthAsia	M	1	218	2050	0	4
S_Sindhi-2	SouthAsia	F	1	194	2093	2	14
S_Spanish-1	WestEurasia	M	1	200	2046	0	6
S_Spanish-2	WestEurasia	F	1	189	1972	0	4
S_Surui-1	America	F	1	179	1948	0	11
S_Surui-2	America	F	1	171	1930	1	9
S_Tajik-1	WestEurasia	M	1	192	1972	0	11
S_Tajik-2	WestEurasia	M	1	204	1961	0	14
S_Thai-1	EastAsia	M	1	183	1930	0	5
S_Thai-2	EastAsia	F	1	179	1793	0	7
S_Tlingit-1	CentralAsiaSiberia	M	1	195	1938	1	20
S_Tlingit-2	CentralAsiaSiberia	F	1	158	1841	0	9
S_Tu-1	EastAsia	M	1	181	1866	0	7
S_Tu-2	EastAsia	F	1	158	1847	1	9
S_Tubalar-1	CentralAsiaSiberia	F	1	174	1895	0	6
S_Tubalar-2	CentralAsiaSiberia	F	1	188	1966	3	8
S_Tujia-1	EastAsia	M	1	175	1789	0	10
S_Tujia-2	EastAsia	F	1	175	1791	0	7
S_Turkish-1	WestEurasia	M	1	185	2079	0	10
S_Turkish-2	WestEurasia	F	1	170	1889	1	9
S_Tuscan-1	WestEurasia	F	1	197	1953	0	12
S_Tuscan-2	WestEurasia	M	1	196	2017	0	14
S_Ulchi-1	CentralAsiaSiberia	F	1	151	1829	1	14
S_Ulchi-2	CentralAsiaSiberia	F	1	179	1842	0	6
S_Uygur-1	EastAsia	F	1	146	1769	0	4
S_Uygur-2	EastAsia	M	1	192	1972	1	8
S_Xibo-1	EastAsia	M	1	162	1833	2	12
S_Xibo-2	EastAsia	M	1	149	1962	2	10
S_Yadava-1	SouthAsia	M	1	165	1940	0	16
S_Yadava-2	SouthAsia	M	1	190	2010	0	8
S_Yakut-1	CentralAsiaSiberia	F	1	184	1850	1	12
S_Yakut-2	CentralAsiaSiberia	M	1	202	2002	0	10
S_Yemenite_Jew-1	WestEurasia	F	1	171	1892	1	11
S_Yemenite_Jew-2	WestEurasia	M	1	200	1912	1	9
S_Yi-1	EastAsia	M	1	154	1705	0	13
S_Yi-2	EastAsia	F	1	164	1937	2	13
S_Zapotec-1	America	M	1	171	2074	2	12
S_Zapotec-2	America	M	1	192	1922	2	11
S_Abkhasian-1	WestEurasia	M	2	203	2106	53	410
S_Abkhasian-2	WestEurasia	M	2	188	2133	47	455
S_Adygei-1	WestEurasia	M	2	192	2090	49	426
S_Adygei-2	WestEurasia	F	2	193	2081	49	415
S_Albanian-1	WestEurasia	F	2	187	2048	35	438
S_Aleut-1	CentralAsiaSiberia	M	2	163	2152	53	401
S_Aleut-2	CentralAsiaSiberia	F	2	176	2108	42	360
S_Altaian-1	CentralAsiaSiberia	M	2	182	2040	37	378
S_Ami-1	EastAsia	M	2	192	2003	48	390
S_Ami-2	EastAsia	M	2	179	2095	64	450
S_Armenian-1	WestEurasia	M	2	200	2023	42	444
S_Armenian-2	WestEurasia	M	2	207	2209	45	384
S_Atayal-1	EastAsia	M	2	196	2025	52	376
S_Balochi-1	SouthAsia	M	2	179	2072	53	374
S_Balochi-2	SouthAsia	M	2	182	2071	49	456
S_Basque-1	WestEurasia	M	2	179	2143	51	432
S_Basque-2	WestEurasia	F	2	190	2170	46	387
S_BedouinB-1	WestEurasia	M	2	186	2097	59	451
S_BedouinB-2	WestEurasia	F	2	200	2122	51	439
S_Bengali-1	SouthAsia	M	2	207	2107	44	409
S_Bengali-2	SouthAsia	F	2	180	2173	61	416
S_Bergamo-1	WestEurasia	M	2	193	2162	49	414
S_Bergamo-2	WestEurasia	F	2	182	2307	45	417
S_Brahmin-1	SouthAsia	M	2	170	2067	59	413
S_Brahmin-2	SouthAsia	M	2	197	2101	54	430
S_Brahui-1	SouthAsia	M	2	205	2128	56	373
S_Brahui-2	SouthAsia	M	2	195	2135	45	432
S_Bulgarian-1	WestEurasia	M	2	178	2243	51	367
S_Bulgarian-2	WestEurasia	M	2	188	2107	51	379
S_Burmese-1	EastAsia	M	2	189	2066	57	424
S_Burmese-2	EastAsia	M	2	186	2015	63	391
S_Burusho-1	SouthAsia	M	2	216	2168	53	407
S_Burusho-2	SouthAsia	F	2	210	1925	63	431
S_Cambodian-1	EastAsia	M	2	178	2039	44	395
S_Cambodian-2	EastAsia	F	2	181	2189	56	411
S_Chane-1	America	M	2	169	2098	53	393
S_Chechen-1	WestEurasia	M	2	190	1971	42	368
S_Chukchi-1	CentralAsiaSiberia	M	2	185	2081	58	466
S_Czech-2	WestEurasia	M	2	178	2137	56	384
S_Dai-1	EastAsia	F	2	168	2000	60	376
S_Dai-2	EastAsia	M	2	187	2198	50	412
S_Dai-3	EastAsia	F	2	198	2111	58	400
S_Daur-2	EastAsia	F	2	166	2024	57	406
S_Druze-1	WestEurasia	F	2	193	2241	44	385
S_Druze-2	WestEurasia	M	2	179	2027	55	443
S_English-1	WestEurasia	M	2	199	2181	51	411
S_English-2	WestEurasia	F	2	193	2093	44	392
S_Eskimo_Chaplin-1	CentralAsiaSiberia	M	2	188	2081	49	442
S_Eskimo_Naukan-1	CentralAsiaSiberia	F	2	174	2122	56	371
S_Eskimo_Naukan-2	CentralAsiaSiberia	F	2	189	1970	49	407
S_Eskimo_Sireniki-1	CentralAsiaSiberia	M	2	184	1972	53	419
S_Eskimo_Sireniki-2	CentralAsiaSiberia	F	2	173	2054	52	417
S_Estonian-1	WestEurasia	M	2	180	2040	46	412
S_Estonian-2	WestEurasia	M	2	189	2009	40	459
S_Even-1	CentralAsiaSiberia	F	2	172	1991	59	440
S_Even-2	CentralAsiaSiberia	M	2	194	2080	55	398
S_Even-3	CentralAsiaSiberia	F	2	150	1942	42	392
S_Finnish-1	WestEurasia	F	2	176	2090	56	393
S_Finnish-2	WestEurasia	M	2	210	2131	39	422
S_Finnish-3	WestEurasia	M	2	185	2153	36	425
S_French-1	WestEurasia	M	2	204	2096	55	393
S_French-2	WestEurasia	F	2	206	2057	45	407
S_Georgian-1	WestEurasia	M	2	174	2137	59	413
S_Georgian-2	WestEurasia	M	2	187	2100	54	425
S_Greek-1	WestEurasia	M	2	192	2090	48	449
S_Greek-2	WestEurasia	M	2	206	2073	46	382
S_Han-1	EastAsia	F	2	188	2018	56	427
S_Han-2	EastAsia	M	2	189	2058	48	381
S_Hazara-1	SouthAsia	M	2	181	2007	46	441
S_Hazara-2	SouthAsia	M	2	194	2112	55	405
S_Hezhen-1	EastAsia	M	2	210	2168	54	444
S_Hezhen-2	EastAsia	F	2	195	2076	44	423
S_Hungarian-1	WestEurasia	F	2	192	2021	38	415
S_Hungarian-2	WestEurasia	M	2	179	2032	49	454
S_Icelandic-1	WestEurasia	F	2	201	2107	48	438
S_Icelandic-2	WestEurasia	F	2	187	2177	42	407
S_Iranian-1	WestEurasia	M	2	204	2044	62	442
S_Iranian-2	WestEurasia	M	2	211	2096	58	394
S_Iraqi_Jew-1	WestEurasia	F	2	191	2033	51	418
S_Iraqi_Jew-2	WestEurasia	M	2	187	2052	51	460
S_Irula-1	SouthAsia	M	2	199	1953	66	457
S_Irula-2	SouthAsia	M	2	210	2085	61	426
S_Itelman-1	CentralAsiaSiberia	F	2	159	2064	59	440
S_Japanese-1	EastAsia	M	2	200	2078	51	416
S_Japanese-2	EastAsia	F	2	217	2068	42	410
S_Japanese-3	EastAsia	M	2	218	1988	41	407
S_Jordanian-1	WestEurasia	M	2	190	1947	54	427
S_Jordanian-2	WestEurasia	M	2	191	2242	54	402
S_Jordanian-3	WestEurasia	M	2	188	2081	46	355
S_Kalash-1	SouthAsia	M	2	222	2063	42	435
S_Kalash-2	SouthAsia	F	2	188	2136	51	388
S_Kapu-1	SouthAsia	M	2	167	2060	49	415
S_Kapu-2	SouthAsia	M	2	197	2063	47	373
S_Karitiana-1	America	M	2	210	2140	54	426
S_Karitiana-2	America	F	2	193	2111	49	439
S_Khonda_Dora-1	SouthAsia	M	2	161	2018	65	454
S_Kinh-1	EastAsia	F	2	192	1987	66	437
S_Kinh-2	EastAsia	M	2	191	1973	44	424
S_Korean-1	EastAsia	M	2	201	2048	45	395
S_Korean-2	EastAsia	F	2	181	2130	54	437
S_Kusunda-1	SouthAsia	M	2	192	2098	38	415
S_Kusunda-2	SouthAsia	M	2	188	2088	45	414
S_Kyrgyz-1	CentralAsiaSiberia	M	2	197	2158	48	405
S_Kyrgyz-2	CentralAsiaSiberia	F	2	180	1990	45	416
S_Lahu-1	EastAsia	F	2	189	1944	77	432
S_Lahu-2	EastAsia	M	2	177	2106	51	413
S_Lezgin-1	WestEurasia	M	2	183	2128	40	452
S_Lezgin-2	WestEurasia	M	2	203	2064	58	444
S_Madiga-1	SouthAsia	M	2	202	2043	55	418
S_Madiga-2	SouthAsia	M	2	195	2098	38	372
S_Makrani-1	SouthAsia	M	2	186	2145	48	430
S_Makrani-2	SouthAsia	F	2	195	2034	60	415
S_Mala-2	SouthAsia	M	2	196	1941	58	415
S_Mala-3	SouthAsia	M	2	206	2068	48	362
S_Mansi-1	CentralAsiaSiberia	M	2	192	2094	44	414
S_Mansi-2	CentralAsiaSiberia	F	2	191	2099	51	396
S_Mayan-1	America	F	2	194	2025	51	428
S_Mayan-2	America	F	2	166	1996	67	415
S_Miao-1	EastAsia	M	2	184	1996	46	431
S_Miao-2	EastAsia	F	2	211	2054	47	397
S_Mixe-2	America	F	2	171	2062	56	441
S_Mixe-3	America	F	2	201	2050	48	418
S_Mixtec-1	America	M	2	181	2030	62	497
S_Mixtec-2	America	F	2	194	2026	41	417
S_Mongola-1	CentralAsiaSiberia	M	2	176	2045	34	420
S_Mongola-2	CentralAsiaSiberia	F	2	199	2068	42	421
S_Naxi-1	EastAsia	M	2	189	2151	53	412
S_Naxi-2	EastAsia	F	2	175	2073	58	479
S_Naxi-3	EastAsia	F	2	198	2017	46	464
S_North_Ossetian-1	WestEurasia	M	2	201	2066	57	420
S_North_Ossetian-2	WestEurasia	M	2	186	2070	49	430
S_Norwegian-1	WestEurasia	F	2	180	1990	38	379
S_Orcadian-1	WestEurasia	M	2	208	2210	56	443
S_Orcadian-2	WestEurasia	F	2	173	2003	55	388
S_Oroqen-1	EastAsia	M	2	185	2019	50	418
S_Oroqen-2	EastAsia	F	2	173	1937	49	390
S_Palestinian-1	WestEurasia	M	2	192	2106	56	397
S_Palestinian-2	WestEurasia	M	2	213	2358	46	471
S_Palestinian-3	WestEurasia	F	2	187	2056	31	428
S_Pathan-1	SouthAsia	M	2	190	2074	50	427
S_Pathan-2	SouthAsia	F	2	219	2162	56	410
S_Piapoco-1	America	F	2	195	2053	46	387
S_Piapoco-2	America	F	2	186	2007	62	403
S_Pima-1	America	M	2	185	2018	61	418
S_Pima-2	America	F	2	200	2074	58	426
S_Polish-1	WestEurasia	M	2	198	2124	44	444
S_Punjabi-1	SouthAsia	M	2	205	2243	57	413
S_Punjabi-2	SouthAsia	M	2	182	2066	70	476
S_Punjabi-3	SouthAsia	F	2	180	2184	57	420
S_Punjabi-4	SouthAsia	F	2	152	2075	46	374
S_Quechua-1	America	F	2	201	2036	61	413
S_Quechua-2	America	M	2	179	2048	54	455
S_Quechua-3	America	F	2	190	2112	63	383
S_Relli-1	SouthAsia	M	2	213	2107	45	423
S_Relli-2	SouthAsia	M	2	194	2046	64	388
S_Russian-1	WestEurasia	M	2	183	2315	44	419
S_Russian-2	WestEurasia	F	2	189	2161	47	388
S_Saami-1	WestEurasia	F	2	218	2215	44	364
S_Saami-2	WestEurasia	M	2	216	2077	47	415
S_Samaritan-1	WestEurasia	M	2	194	2056	44	389
S_Sardinian-1	WestEurasia	M	2	188	2219	47	394
S_Sardinian-2	WestEurasia	F	2	179	2139	46	390
S_She-1	EastAsia	F	2	184	2083	48	411
S_She-2	EastAsia	M	2	203	2081	55	409
S_Sindhi-1	SouthAsia	M	2	191	2039	55	399
S_Sindhi-2	SouthAsia	F	2	172	2180	54	455
S_Spanish-1	WestEurasia	M	2	199	2076	49	388
S_Spanish-2	WestEurasia	F	2	202	2124	40	477
S_Surui-1	America	F	2	202	2110	50	419
S_Surui-2	America	F	2	184	2001	54	447
S_Tajik-1	WestEurasia	M	2	201	2054	57	459
S_Tajik-2	WestEurasia	M	2	164	2055	36	414
S_Thai-1	EastAsia	M	2	188	2114	60	489
S_Thai-2	EastAsia	F	2	185	2046	55	419
S_Tlingit-1	CentralAsiaSiberia	M	2	169	2058	55	419
S_Tlingit-2	CentralAsiaSiberia	F	2	202	2038	49	437
S_Tu-1	EastAsia	M	2	196	2043	52	442
S_Tu-2	EastAsia	F	2	184	2039	47	428
S_Tubalar-1	CentralAsiaSiberia	F	2	187	2076	59	392
S_Tubalar-2	CentralAsiaSiberia	F	2	184	2067	48	385
S_Tujia-1	EastAsia	M	2	172	2052	45	396
S_Tujia-2	EastAsia	F	2	164	1960	45	451
S_Turkish-1	WestEurasia	M	2	204	2032	48	397
S_Turkish-2	WestEurasia	F	2	210	2255	44	401
S_Tuscan-1	WestEurasia	F	2	210	2185	45	413
S_Tuscan-2	WestEurasia	M	2	189	2024	51	394
S_Ulchi-1	CentralAsiaSiberia	F	2	189	2062	57	377
S_Ulchi-2	CentralAsiaSiberia	F	2	168	2007	54	381
S_Uygur-1	EastAsia	F	2	189	2039	70	393
S_Uygur-2	EastAsia	M	2	196	2072	60	406
S_Xibo-1	EastAsia	M	2	195	2002	50	425
S_Xibo-2	EastAsia	M	2	181	2067	46	425
S_Yadava-1	SouthAsia	M	2	182	2037	54	384
S_Yadava-2	SouthAsia	M	2	179	1974	44	412
S_Yakut-1	CentralAsiaSiberia	F	2	175	1904	49	399
S_Yakut-2	CentralAsiaSiberia	M	2	179	1978	44	422
S_Yemenite_Jew-1	WestEurasia	F	2	208	2177	61	406
S_Yemenite_Jew-2	WestEurasia	M	2	192	2169	42	412
S_Yi-1	EastAsia	M	2	149	1910	73	394
S_Yi-2	EastAsia	F	2	179	1961	53	434
S_Zapotec-1	America	M	2	168	1963	56	429
S_Zapotec-2	America	M	2	195	2061	58	460
S_Abkhasian-1	WestEurasia	M	3	166	1918	19	232
S_Abkhasian-2	WestEurasia	M	3	168	1950	31	227
S_Adygei-1	WestEurasia	M	3	154	1949	25	227
S_Adygei-2	WestEurasia	F	3	176	2104	28	287
S_Albanian-1	WestEurasia	F	3	175	2025	23	203
S_Aleut-1	CentralAsiaSiberia	M	3	193	1931	30	271
S_Aleut-2	CentralAsiaSiberia	F	3	179	1990	21	188
S_Altaian-1	CentralAsiaSiberia	M	3	172	1857	17	236
S_Ami-1	EastAsia	M	3	160	1964	29	217
S_Ami-2	EastAsia	M	3	175	1948	27	223
S_Armenian-1	WestEurasia	M	3	173	1908	22	253
S_Armenian-2	WestEurasia	M	3	147	1968	29	274
S_Atayal-1	EastAsia	M	3	163	1756	27	198
S_Balochi-1	SouthAsia	M	3	155	1892	25	214
S_Balochi-2	SouthAsia	M	3	160	2037	33	249
S_Basque-1	WestEurasia	M	3	173	1974	21	208
S_Basque-2	WestEurasia	F	3	176	1871	23	215
S_BedouinB-1	WestEurasia	M	3	152	1850	31	261
S_BedouinB-2	WestEurasia	F	3	180	2025	31	237
S_Bengali-1	SouthAsia	M	3	163	1903	31	230
S_Bengali-2	SouthAsia	F	3	180	1912	27	241
S_Bergamo-1	WestEurasia	M	3	186	2039	25	256
S_Bergamo-2	WestEurasia	F	3	181	2022	23	302
S_Brahmin-1	SouthAsia	M	3	184	1990	30	255
S_Brahmin-2	SouthAsia	M	3	146	1984	29	253
S_Brahui-1	SouthAsia	M	3	171	1874	26	225
S_Brahui-2	SouthAsia	M	3	175	1968	28	242
S_Bulgarian-1	WestEurasia	M	3	188	1970	42	251
S_Bulgarian-2	WestEurasia	M	3	161	1876	22	233
S_Burmese-1	EastAsia	M	3	146	1843	40	254
S_Burmese-2	EastAsia	M	3	159	1923	23	251
S_Burusho-1	SouthAsia	M	3	144	1989	25	292
S_Burusho-2	SouthAsia	F	3	153	1897	29	251
S_Cambodian-1	EastAsia	M	3	153	1915	20	204
S_Cambodian-2	EastAsia	F	3	144	2005	26	247
S_Chane-1	America	M	3	142	1818	27	217
S_Chechen-1	WestEurasia	M	3	152	1935	27	306
S_Chukchi-1	CentralAsiaSiberia	M	3	167	2038	28	213
S_Czech-2	WestEurasia	M	3	168	1965	24	227
S_Dai-1	EastAsia	F	3	146	1983	29	199
S_Dai-2	EastAsia	M	3	150	2065	29	268
S_Dai-3	EastAsia	F	3	161	1949	22	209
S_Daur-2	EastAsia	F	3	154	1913	25	191
S_Druze-1	WestEurasia	F	3	147	1960	28	226
S_Druze-2	WestEurasia	M	3	174	1926	34	261
S_English-1	WestEurasia	M	3	163	1907	25	217
S_English-2	WestEurasia	F	3	185	1963	30	230
S_Eskimo_Chaplin-1	CentralAsiaSiberia	M	3	182	1969	32	251
S_Eskimo_Naukan-1	CentralAsiaSiberia	F	3	159	1934	29	218
S_Eskimo_Naukan-2	CentralAsiaSiberia	F	3	190	1935	28	204
S_Eskimo_Sireniki-1	CentralAsiaSiberia	M	3	179	1922	26	239
S_Eskimo_Sireniki-2	CentralAsiaSiberia	F	3	178	1977	26	232
S_Estonian-1	WestEurasia	M	3	151	1932	32	254
S_Estonian-2	WestEurasia	M	3	190	1970	30	219
S_Even-1	CentralAsiaSiberia	F	3	158	1912	28	223
S_Even-2	CentralAsiaSiberia	M	3	173	2037	18	222
S_Even-3	CentralAsiaSiberia	F	3	184	1922	26	249
S_Finnish-1	WestEurasia	F	3	161	1789	25	245
S_Finnish-2	WestEurasia	M	3	169	2045	21	213
S_Finnish-3	WestEurasia	M	3	170	1979	26	210
S_French-1	WestEurasia	M	3	157	1940	23	242
S_French-2	WestEurasia	F	3	172	1837	26	224
S_Georgian-1	WestEurasia	M	3	165	1879	26	241
S_Georgian-2	WestEurasia	M	3	149	1875	23	195
S_Greek-1	WestEurasia	M	3	178	1981	19	214
S_Greek-2	WestEurasia	M	3	169	1985	29	237
S_Han-1	EastAsia	F	3	198	2030	25	213
S_Han-2	EastAsia	M	3	152	1959	27	202
S_Hazara-1	SouthAsia	M	3	155	1743	24	183
